,Name of Chess Player,Country of Chess Player,Title of Chess Player,Rating,Description
104,Arkadij Naiditsch,Azerbaijan,GM,2665,"Arkadij Naiditsch is a German-Azerbaijani grandmaster and a former top-20 player in the world. He won the Dortmund Sparkassen 2005 tournament ahead of GMs like Veselin Topalov, Peter Svidler, and Vladimir Kramnik. In 2007, Naiditsch won the German Chess Championship while playing for the country. He..."
105,Vasyl Ivanchuk,Ukraine,GM,2664,"Vassily Ivanchuk (who nowadays calls himself ""Vasyl"")  is a Ukrainian grandmaster and world-class player. He was the number-two player in the world on three separate occasions (1991, 1992 and 2007) and made it to the 2002 FIDE World Championship Finals. He has won many international tournaments,..."
106,Gata Kamsky,United States,GM,2664,"Gata Kamsky is an American grandmaster. He is the former Soviet junior champion and a five-time U.S. champion. His peak world ranking was number-four, and he challenged GM Anatoly Karpov for the FIDE World Championship in 1996. Kamsky has won many international tournaments as well as the 2007 World..."
107,Peter Leko,Hungary,GM,,"GM Peter Leko is a Hungarian super grandmaster who played for the classical world championship in 2004, losing to GM Vladimir Kramnik (under the terms of the match, despite drawing it by score).
Born in 1979, he was already an IM by 1992. GM came two years later, making him the youngest ever.

  
Your..."
108,Matthias Bluebaum,Germany,GM,2663,"Matthias Bluebaum is a German grandmaster, the 2022 European Champion, and the 2020 German Chess Champion. Earlier in his career, he had several top-10 finishes in major tournaments, including the 2011 German U18 Chess Championship, 2011 World U14 Chess Championship, 2014 World U18 Chess Championship,..."
109,Maxim Matlakov,Russia,GM,2662,"Maxim Matlakov is a Russian grandmaster and currently one of the top-15 players in his country (as of February 2021). He also acted as GM Peter Svidler's second during the Candidates Tournaments of 2013, 2014, and 2016.
Matlakov won the U18 section of the World Youth Chess Championship in 2009. That..."
110,Kirill Shevchenko,Ukraine,GM,2662,"Kirill Shevchenko is a Ukrainian grandmaster and a top-10 junior player in the world (as of April 2021). He earned his GM title when 14 years, nine months, and 23 days old, placing him on the list of the youngest grandmasters in history. At the 2019 Najdorf Memorial Open A Tournament, Shevchenko finished..."
111,Gadir Guseinov,Azerbaijan,GM,2661,"Gadir Guseinov is a Russian-born grandmaster who plays for Azerbaijan and is one of the nation's strongest players. One of Guseinov's early successes came when he won the U10 European Youth Chess Championship in 1994. He later won the Ugra Governor's Chess Blitz Cup in 2011 and, more recently, the Sitges..."
112,Ernesto Inarkiev,Russia,GM,2661,"Ernesto Inarkiev is a Russian grandmaster who won the 2016 European Individual Chess Championship. Earlier in his career, he was European U16 Champion (2001) and Russian Junior (under-20) Champion (2002). Inarkiev earned his GM title in 2002, becoming the first-ever from Kalmykia, a republic of Russia...."
113,Ivan Saric,Croatia,GM,2661,"Ivan Saric was born on August 17, 1990, in Split, Croatia. He is currently the highest-rated Croatian grandmaster (as of February 2021) and has been on Croatia's Olympic team since 2010. He reached his peak FIDE rating of 2703 in 2019.
Saric won the Under-18 European Championship in 2007, a year before..."
114,Javokhir Sindarov,Uzbekistan,GM,2661,"GM Javokhir Sindarov is a grandmaster from Uzbekistan. One of the youngest grandmasters in history, in 2018 he earned his GM title at the age of 12 years, 10 months, and 5 days. He is one of just five players to earn the title before turning 13 years old (as of August 2022).
Sindarov is also a two-time..."
115,Nils Grandelius,Sweden,GM,2660,"Nils Grandelius is a Swedish grandmaster and the top-ranked player in that country (as of February 2021). He won the Swedish Chess Championship in 2015 and as a junior took the under-18 World Youth Chess Champions in 2010. In 2019, Grandelius spent several months ranked among the world’s top-50..."
116,Alexander Morozevich,Russia,GM,,"GM Alexander Morozevich is one of only a few chess players who can claim to have been the world’s number-two player. In July 2008, his rating of 2788 put him second behind only GM Viswanathan Anand and also made Morozevich Russia’s number-one player. Twice, in 1998 and 2007, he won..."
117,Ivan Cheparinov,Bulgaria,GM,2659,"Ivan Cheparinov is a Bulgarian grandmaster who has represented Georgia since 2018. He is a four-time Bulgarian champion.
In 2018, he reached both his peak rating (2718) and peak world ranking (32) for his career (as of February 2021). Other notable performances came when he won the junior..."
118,Ma Qun,China,GM,2659,
119,Thai Dai Van Nguyen,Czech Republic,GM,2659,Thai Dai Van Nguyen is a Czech chess grandmaster who qualified for the 2021 FIDE World Cup.
120,Jaime Santos Latasa,Spain,GM,2657,Full bio coming soon...
121,Aryan Tari,Norway,GM,2656,"GM Aryan Tari is a Norwegian chess grandmaster. As of July 2021, he is the second-highest rated player in Norway after world champion GM Magnus Carlsen. Tari, a two-time national champion, participated in the international Norway Chess tournament in 2020 and has been invited for the 2021 edition as..."
122,Ruslan Ponomariov,Ukraine,GM,2655,"Ukrainian GM Ruslan Ponomariov is a former FIDE world champion and one of the greatest chess prodigies in history. He earned the world title at the age of 18 and in 1997 became the youngest person at the time to become a grandmaster—only 17 days after turning 14 years old. The same year, he won..."
123,Illya Nyzhnyk,Ukraine,GM,2654,"Illya Nyzhnyk is a Ukrainian grandmaster and one of the best players in his country. He rose to the top of the chess world at a young age, winning the U10 Ukrainian Youth Championship in both 2005 and 2006. He also won the U12 championship in 2006 and the U16 championship in 2008.
In 2007, Nyzhnyk drew..."
124,Alexander Donchenko,Germany,GM,2654,"Alexander Donchenko is a German grandmaster. His two best performances came in 2019, when he first shared second place with GM Gata Kamsky at Biel Masters, one-half point behind GM Amin Tabatabaei. A couple of months later, he went undefeated and won the Barcelona Open, ironically beating out Kamsky..."
125,Etienne Bacrot,France,GM,2653,"Etienne Bacrot is a French grandmaster. He won his first French championship at 16 years of age, which is the youngest in history. That was the first of five consecutive national titles, and Bacrot has accumulated eight in total—more than any other player.
He made a name for himself in chess as..."
126,Vladimir Malakhov,FIDE,GM,2650,"Vladimir Malakhov is a Russian grandmaster. He won the 2009 European Rapid Chess Championship and won gold with Russia at the 2009 World Team Chess Championship. Also that year, he made it to the semifinals of the Chess World Cup. As a youth player, Malakhov won the Under-12 Russian Championship in..."
127,Jorge Cori,Peru,GM,2650,"Jorge Cori, a former chess prodigy, is a Peruvian grandmaster. He won the World Under-14 and Under-16 Chess Championships in 2009 and 2011, respectively, and took four gold medals at the Pan American Youth Chess Festival in the under-10, 12, 14, and 18 age categories. Later he won individual bronze..."
128,Anton Korobov,Ukraine,GM,2649,"Anton Korobov is a Ukrainian grandmaster and four-time national champion. He won individual gold at the 43rd Chess Olympiad as the best player on the reserve board, won the 2013 European Blitz Chess Championship, and is an exceptional rapid player—ranked fifth in the world (as of February 2021)...."
129,Yuriy Kryvoruchko,Ukraine,GM,2649,"Yuriy Kryvoruchko is a Ukrainian grandmaster and the 2013 Ukrainian Chess Champion. That victory came after he defeated GM and former FIDE world champion Ruslan Ponomariov on tiebreaks. The same year, Kryvoruchko made it to the third round of the World Cup after a surprising win against GM Michael Adams..."
130,Loek van Wely,Netherlands,GM,2648,"Loek van Wely is a Dutch grandmaster and currently the fifth-best player in the Netherlands (as of March 2021). Van Wely is an eight-time Dutch champion, winning six consecutive times from 2000 to 2005, and again in 2014 and 2017. Other successes include winning the 2005 European Team Championship while..."
131,Dariusz Swiercz,United States,GM,2646,"GM Dariusz Swiercz is a Polish-born American chess player who began playing for the United States in 2018. He learned chess at age three and became a grandmaster in 2009 at the age of just 14, making him one of the 30 youngest in history to attain the title and the youngest ever from Poland. His excellent..."
132,Rauf Mamedov,Azerbaijan,GM,2646,"Rauf Mamedov is an Azerbaijani grandmaster. Early in his career, Mamedov's most notable success came when he won first place in the U16 European Youth Championship in 1999. Five years later, he became a grandmaster in 2004 and won the Dubai Open. Mamedov went on to win the Azerbaijani Chess Championship..."
133,Tamir Nabaty,Israel,GM,2646,
134,Hrant Melkumyan,Armenia,GM,2645,"Hrant Melkumyan is an Armenian grandmaster who won the European Blitz Championship in 2011. After a strong showing in the 2014 European Individual Championship (7.5/11), he competed in the 2015 World Cup and defeated GM Gata Kamsky in the first round before losing in the next round. Melkumyan placed..."
135,Nguyen Ngoc Truong Son,Vietnam,GM,2645,Bio coming soon
136,Alexander Ipatov,Turkey,GM,,
137,Awonder Liang,United States,GM,2643,"Awonder Liang is an American grandmaster and the 2011 World U8 Champion. He’s well-known for being the youngest player ever to defeat a grandmaster in a standard tournament game when at the age of 9 years, three months, and 20 days, he beat GM Larry Kaufman. Liang is also the second-youngest grandmaster..."
